"Київ";;"м. Київ"
"Київська";"Білоцерківський";"смт Терезине"
"Київська";"Богуславський";"м. Богуслав"
"Київська";"Богуславський";"с. Біївці"
"Київська";"Богуславський";"с. Бородані"
"Київська";"Богуславський";"с. Бране Поле"
"Київська";"Богуславський";"с. Вільховець"
"Київська";"Богуславський";"с. Гута"
"Київська";"Богуславський";"с. Дешки"
"Київська";"Богуславський";"с. Дибинці"
"Київська";"Богуславський";"с. Дібрівка"
"Київська";"Богуславський";"с. Дмитренки"
"Київська";"Богуславський";"с. Закутинці"
"Київська";"Богуславський";"с. Іванівка"
"Київська";"Богуславський";"с. Івки"
"Київська";"Богуславський";"с. Ісайки"
"Київська";"Богуславський";"с. Калинівка"
"Київська";"Богуславський";"с. Карандинці"
"Київська";"Богуславський";"с. Киданівка"
"Київська";"Богуславський";"с. Коряківка"
"Київська";"Богуславський";"с. Красногородка"
"Київська";"Богуславський";"с. Лютарі"
"Київська";"Богуславський";"с. Медвин"
"Київська";"Богуславський";"с. Мисайлівка"
"Київська";"Богуславський";"с. Митаївка"
"Київська";"Богуславський";"с. Михайлівка"
"Київська";"Богуславський";"с. Москаленки"
"Київська";"Богуславський";"с. Олексіївка"
"Київська";"Богуславський";"с. Побережка"
"Київська";"Богуславський";"с. Половецьке"
"Київська";"Богуславський";"с. Поташня"
"Київська";"Богуславський";"с. Розкопанці"
"Київська";"Богуславський";"с. Саварка"
"Київська";"Богуславський";"с. Семигори"
"Київська";"Богуславський";"с. Синиця"
"Київська";"Богуславський";"с. Софійка"
"Київська";"Богуславський";"с. Тептіївка"
"Київська";"Богуславський";"с. Туники"
"Київська";"Богуславський";"с. Хохітва"
"Київська";"Богуславський";"с. Чайки"
"Київська";"Богуславський";"с. Шупики"
"Київська";"Богуславський";"с. Щербашинці"
"Київська";"Богуславський";"с. Яцюки"
"Київська";"Бориспільський";"м. Бориспіль"
"Київська";"Бориспільський";"с. Андріївка"
"Київська";"Бориспільський";"с. Артемівка"
"Київська";"Бориспільський";"с. Безуглівка"
"Київська";"Бориспільський";"с. Васильки"
"Київська";"Бориспільський";"с. Велика Олександрівка"
"Київська";"Бориспільський";"с. Велика Стариця"
"Київська";"Бориспільський";"с. Вишеньки"
"Київська";"Бориспільський";"с. Вороньків"
"Київська";"Бориспільський";"с. Глибоке"
"Київська";"Бориспільський";"с. Гнідин"
"Київська";"Бориспільський";"с. Головурів"
"Київська";"Бориспільський";"с. Гора"
"Київська";"Бориспільський";"с. Горобіївка"
"Київська";"Бориспільський";"с. Городище"
"Київська";"Бориспільський";"с. Григорівка"
"Київська";"Бориспільський";"с. Дударків"
"Київська";"Бориспільський";"с. Жереб'ятин"
"Київська";"Бориспільський";"с. Займище"
"Київська";"Бориспільський";"с. Затишне"
"Київська";"Бориспільський";"с. Іванків"
"Київська";"Бориспільський";"с. Кийлів"
"Київська";"Бориспільський";"с. Кириївщина"
"Київська";"Бориспільський";"с. Кучаків"
"Київська";"Бориспільський";"с. Лебедин"
"Київська";"Бориспільський";"с. Любарці"
"Київська";"Бориспільський";"с. Мала Олександрівка"
"Київська";"Бориспільський";"с. Мала Стариця"
"Київська";"Бориспільський";"с. Малі Єрківці"
"Київська";"Бориспільський";"с. Мартусівка"
"Київська";"Бориспільський";"с. Мирне"
"Київська";"Бориспільський";"с. Перегуди"
"Київська";"Бориспільський";"с. Петропавлівське"
"Київська";"Бориспільський";"с. Проліски"
"Київська";"Бориспільський";"с. Проців"
"Київська";"Бориспільський";"с. Ревне"
"Київська";"Бориспільський";"с. Рогозів"
"Київська";"Бориспільський";"с. Сеньківка"
"Київська";"Бориспільський";"с. Сошників"
"Київська";"Бориспільський";"с. Старе"
"Київська";"Бориспільський";"с. Сулимівка"
"Київська";"Бориспільський";"с. Тарасівка"
"Київська";"Бориспільський";"с. Чубинське"
"Київська";"Бориспільський";"с. Щасливе"
"Київська";"Бородянський";"с. Берестянка"
"Київська";"Бородянський";"с. Блиставиця"
"Київська";"Бородянський";"с. Бондарня"
"Київська";"Бородянський";"с. Буда-Бабинецька"
"Київська";"Бородянський";"с. Вабля"
"Київська";"Бородянський";"с. Великий ліс"
"Київська";"Бородянський";"с. Вишняки"
"Київська";"Бородянський";"с. Волиця"
"Київська";"Бородянський";"с. Гай"
"Київська";"Бородянський";"с. Галинка"
"Київська";"Бородянський";"с. Діброва"
"Київська";"Бородянський";"с. Дмитрівка"
"Київська";"Бородянський";"с. Дружня"
"Київська";"Бородянський";"с. Загальці"
"Київська";"Бородянський";"с. Здвижівка"
"Київська";"Бородянський";"с. Качали"
"Київська";"Бородянський";"с. Коблицький ліс"
"Київська";"Бородянський";"с. Коблиця"
"Київська";"Бородянський";"с. Козинці"
"Київська";"Бородянський";"с. Красний Ріг"
"Київська";"Бородянський";"с. Луб'янка"
"Київська";"Бородянський";"с. Майданівка"
"Київська";"Бородянський";"с. Мигалки"
"Київська";"Бородянський";"с. Микуличі"
"Київська";"Бородянський";"с. Мирча"
"Київська";"Бородянський";"с. Михайленків"
"Київська";"Бородянський";"с. Небрат"
"Київська";"Бородянський";"с. Нова буда"
"Київська";"Бородянський";"с. Нова Гребля"
"Київська";"Бородянський";"с. Нове Залісся"
"Київська";"Бородянський";"с. Новий Корогод"
"Київська";"Бородянський";"с. Озера"
"Київська";"Бородянський";"с. Озерщина"
"Київська";"Бородянський";"с. Пилиповичі"
"Київська";"Бородянський";"с. Пороскотень"
"Київська";"Бородянський";"с. Поташня"
"Київська";"Бородянський";"с. Раска"
"Київська";"Бородянський";"с. Стара буда"
"Київська";"Бородянський";"с. Тальське"
"Київська";"Бородянський";"с. Торф'яне"
"Київська";"Бородянський";"с. Шибене"
"Київська";"Бородянський";"с. Язвинка"
"Київська";"Бородянський";"смт Бабинці"
"Київська";"Бородянський";"смт Бородянка"
"Київська";"Бородянський";"смт Клавдієво-Тарасове"
"Київська";"Бородянський";"смт Немішаєве"
"Київська";"Бородянський";"смт Пісківка"
"Київська";"Броварський";"м. Бровари"
"Київська";"Броварський";"с. Бервиця"
"Київська";"Броварський";"с. Бобрик"
"Київська";"Броварський";"с. Богданівка"
"Київська";"Броварський";"с. Вільне"
"Київська";"Броварський";"с. Гайове"
"Київська";"Броварський";"с. Гоголів"
"Київська";"Броварський";"с. Гребельки"
"Київська";"Броварський";"с. Жердова"
"Київська";"Броварський";"с. Заворичі"
"Київська";"Броварський";"с. Зазим'я"
"Київська";"Броварський";"с. Залісся"
"Київська";"Броварський";"с. Захарівка"
"Київська";"Броварський";"с. Зоря"
"Київська";"Броварський";"с. Квітневе"
"Київська";"Броварський";"с. Княжичі"
"Київська";"Броварський";"с. Красилівка"
"Київська";"Броварський";"с. Кулажинці"
"Київська";"Броварський";"с. Літки"
"Київська";"Броварський";"с. Літочки"
"Київська";"Броварський";"с. Михайлівка"
"Київська";"Броварський";"с. Мокрець"
"Київська";"Броварський";"с. Опанасів"
"Київська";"Броварський";"с. Перемога"
"Київська";"Броварський";"с. Переможець"
"Київська";"Броварський";"с. Перше Травня"
"Київська";"Броварський";"с. Першотравневе"
"Київська";"Броварський";"с. Підлісся"
"Київська";"Броварський";"с. Плоске"
"Київська";"Броварський";"с. Погреби"
"Київська";"Броварський";"с. Покровське"
"Київська";"Броварський";"с. Пухівка"
"Київська";"Броварський";"с. Рожівка"
"Київська";"Броварський";"с. Рожни"
"Київська";"Броварський";"с. Рудня"
"Київська";"Броварський";"с. Русанів"
"Київська";"Броварський";"с. Світильня"
"Київська";"Броварський";"с. Семиполки"
"Київська";"Броварський";"с. Скибин"
"Київська";"Броварський";"с. Соболівка"
"Київська";"Броварський";"с. Тарасівка"
"Київська";"Броварський";"с. Требухів"
"Київська";"Броварський";"с. Шевченкове"
"Київська";"Броварський";"смт Велика Димерка"
"Київська";"Броварський";"смт Калинівка"
"Київська";"Броварський";"смт Калита"
"Київська";"Буча";"м. Буча"
"Київська";"Васильківський";"м. Васильків"
"Київська";"Васильківський";"с. Багрин"
"Київська";"Васильківський";"с. Барахти"
"Київська";"Васильківський";"с. Безп'ятне"
"Київська";"Васильківський";"с. Березенщина"
"Київська";"Васильківський";"с. Бобриця"
"Київська";"Васильківський";"с. Борисів"
"Київська";"Васильківський";"с. Варовичі"
"Київська";"Васильківський";"с. Велика Бугаївка"
"Київська";"Васильківський";"с. Велика Вільшанка"
"Київська";"Васильківський";"с. Велика Солтанівка"
"Київська";"Васильківський";"с. Вільшанська Новоселиця"
"Київська";"Васильківський";"с. Вінницькі Стави"
"Київська";"Васильківський";"с. Гвоздів"
"Київська";"Васильківський";"с. Данилівка"
"Київська";"Васильківський";"с. Дерев'янки"
"Київська";"Васильківський";"с. Дзвінкове"
"Київська";"Васильківський";"с. Діброва"
"Київська";"Васильківський";"с. Зайців"
"Київська";"Васильківський";"с. Залізне"
"Київська";"Васильківський";"с. Заріччя"
"Київська";"Васильківський";"с. Застугна"
"Київська";"Васильківський";"с. Здорівка"
"Київська";"Васильківський";"с. Зелений Бір"
"Київська";"Васильківський";"с. Зозулі"
"Київська";"Васильківський";"с. Іванковичі"
"Київська";"Васильківський";"с. Кобці"
"Київська";"Васильківський";"с. Ковалівка"
"Київська";"Васильківський";"с. Кодаки"
"Київська";"Васильківський";"с. Кожухівка"
"Київська";"Васильківський";"с. Крушинка"
"Київська";"Васильківський";"с. Крячки"
"Київська";"Васильківський";"с. Ксаверівка"
"Київська";"Васильківський";"с. Ксаверівка Друга"
"Київська";"Васильківський";"с. Кулибаба"
"Київська";"Васильківський";"с. Липовий Скиток"
"Київська";"Васильківський";"с. Лосятин"
"Київська";"Васильківський";"с. Луб'янка"
"Київська";"Васильківський";"с. Мала Бугаївка"
"Київська";"Васильківський";"с. Мала Солтанівка"
"Київська";"Васильківський";"с. Мархалівка"
"Київська";"Васильківський";"с. Мар'янівка"
"Київська";"Васильківський";"с. Митниця"
"Київська";"Васильківський";"с. Перевіз"
"Київська";"Васильківський";"с. Петрівка"
"Київська";"Васильківський";"с. Пінчуки"
"Київська";"Васильківський";"с. Плесецьке"
"Київська";"Васильківський";"с. Погреби"
"Київська";"Васильківський";"с. Пологи"
"Київська";"Васильківський";"с. Порадівка"
"Київська";"Васильківський";"с. Путрівка"
"Київська";"Васильківський";"с. Пшеничне"
"Київська";"Васильківський";"с. Рославичі"
"Київська";"Васильківський";"с. Руликів"
"Київська";"Васильківський";"с. Саливонки"
"Київська";"Васильківський";"с. Скрипки"
"Київська";"Васильківський";"с. Соколівка"
"Київська";"Васильківський";"с. Степанівка"
"Київська";"Васильківський";"с. Тростинка"
"Київська";"Васильківський";"с. Тростинська Новоселиця"
"Київська";"Васильківський";"с. Устимівка"
"Київська";"Васильківський";"с. Хлепча"
"Київська";"Васильківський";"с. Червоне (Застугнянська сільська рада)"
"Київська";"Васильківський";"с. Червоне (Шевченківська сільська рада)"
"Київська";"Васильківський";"с. Червоне Поле"
"Київська";"Васильківський";"с. Шевченківка"
"Київська";"Васильківський";"с. Яцьки"
"Київська";"Васильківський";"смт Глеваха"
"Київська";"Васильківський";"смт Гребінки"
"Київська";"Васильківський";"смт Дослідницьке"
"Київська";"Васильківський";"смт Калинівка"
"Київська";"Вишгородський";"м. Вишгород"
"Київська";"Вишгородський";"с. Абрамівка"
"Київська";"Вишгородський";"с. Андріївка"
"Київська";"Вишгородський";"с. Богдани"
"Київська";"Вишгородський";"с. Боденьки"
"Київська";"Вишгородський";"с. Вахівка"
"Київська";"Вишгородський";"с. Вища Дубечня"
"Київська";"Вишгородський";"с. Володимирівка"
"Київська";"Вишгородський";"с. Вороньківка"
"Київська";"Вишгородський";"с. Воропаїв"
"Київська";"Вишгородський";"с. Гаврилівка"
"Київська";"Вишгородський";"с. Глібівка"
"Київська";"Вишгородський";"с. Гута-Катюжанська"
"Київська";"Вишгородський";"с. Гута-Межигірська"
"Київська";"Вишгородський";"с. Демидів"
"Київська";"Вишгородський";"с. Дмитрівка"
"Київська";"Вишгородський";"с. Дудки"
"Київська";"Вишгородський";"с. Жукин"
"Київська";"Вишгородський";"с. Каменка"
"Київська";"Вишгородський";"с. Катюжанка"
"Київська";"Вишгородський";"с. Козаровичі"
"Київська";"Вишгородський";"с. Круги"
"Київська";"Вишгородський";"с. Лебедівка"
"Київська";"Вишгородський";"с. Литвинівка"
"Київська";"Вишгородський";"с. Лісовичі"
"Київська";"Вишгородський";"с. Любидва"
"Київська";"Вишгородський";"с. Любимівка"
"Київська";"Вишгородський";"с. Лютіж"
"Київська";"Вишгородський";"с. Миколаївка"
"Київська";"Вишгородський";"с. Нижча Дубечня"
"Київська";"Вишгородський";"с. Нові Петрівці"
"Київська";"Вишгородський";"с. Новосілки"
"Київська";"Вишгородський";"с. Овдієва Нива"
"Київська";"Вишгородський";"с. Осещина"
"Київська";"Вишгородський";"с. Пилява"
"Київська";"Вишгородський";"с. Пірнове"
"Київська";"Вишгородський";"с. Раківка"
"Київська";"Вишгородський";"с. Рикунь"
"Київська";"Вишгородський";"с. Ритні"
"Київська";"Вишгородський";"с. Рихта"
"Київська";"Вишгородський";"с. Ровжи"
"Київська";"Вишгородський";"с. Рови"
"Київська";"Вишгородський";"с. Розтісне"
"Київська";"Вишгородський";"с. Рудня-Димерська"
"Київська";"Вишгородський";"с. Савенки"
"Київська";"Вишгородський";"с. Синяк"
"Київська";"Вишгородський";"с. Сичівка"
"Київська";"Вишгородський";"с. Старі Петрівці"
"Київська";"Вишгородський";"с. Сувид"
"Київська";"Вишгородський";"с. Сухолуччя"
"Київська";"Вишгородський";"с. Тарасівщина"
"Київська";"Вишгородський";"с. Толокунь"
"Київська";"Вишгородський";"с. Федорівка"
"Київська";"Вишгородський";"с. Хотянівка"
"Київська";"Вишгородський";"с. Червоне"
"Київська";"Вишгородський";"с. Ясногородка"
"Київська";"Вишгородський";"смт Димер"
"Київська";"Володарський";"с. Березна"
"Київська";"Володарський";"с. Біліївка"
"Київська";"Володарський";"с. Веснянка"
"Київська";"Володарський";"с. Володимирівка"
"Київська";"Володарський";"с. Гайворон"
"Київська";"Володарський";"с. Гайок"
"Київська";"Володарський";"с. Городище-Косівське"
"Київська";"Володарський";"с. Городище-Пустоварівське"
"Київська";"Володарський";"с. Дружба"
"Київська";"Володарський";"с. Завадівка"
"Київська";"Володарський";"с. Зрайки"
"Київська";"Володарський";"с. Капустинці"
"Київська";"Володарський";"с. Кленове"
"Київська";"Володарський";"с. Коржиха"
"Київська";"Володарський";"с. Косівка"
"Київська";"Володарський";"с. Лихачиха"
"Київська";"Володарський";"с. Лобачів"
"Київська";"Володарський";"с. Логвин"
"Київська";"Володарський";"с. Мармуліївка"
"Київська";"Володарський";"с. Матвіїха"
"Київська";"Володарський";"с. Михайлівка"
"Київська";"Володарський";"с. Надросівка"
"Київська";"Володарський";"с. Нове Життя"
"Київська";"Володарський";"с. Ожегівка"
"Київська";"Володарський";"с. Пархомівка"
"Київська";"Володарський";"с. Петрашівка"
"Київська";"Володарський";"с. Ратуш"
"Київська";"Володарський";"с. Рачки"
"Київська";"Володарський";"с. Рогізна"
"Київська";"Володарський";"с. Рубченки"
"Київська";"Володарський";"с. Руде Село"
"Київська";"Володарський";"с. Тадіївка"
"Київська";"Володарський";"с. Тарасівка"
"Київська";"Володарський";"с. Тарган"
"Київська";"Володарський";"с. Чепіжинці"
"Київська";"Володарський";"с. Шевченкове"
"Київська";"Володарський";"смт Володарка"
"Київська";"Згурівський";"с. Аркадіївка"
"Київська";"Згурівський";"с. Безуглівка"
"Київська";"Згурівський";"с. Великий Крупіль"
"Київська";"Згурівський";"с. Вишневе"
"Київська";"Згурівський";"с. Вільне"
"Київська";"Згурівський";"с. Вознесенське"
"Київська";"Згурівський";"с. Войтове"
"Київська";"Згурівський";"с. Володимирське"
"Київська";"Згурівський";"с. Горбачівка"
"Київська";"Згурівський";"с. Гречана Гребля"
"Київська";"Згурівський";"с. Жуківка"
"Київська";"Згурівський";"с. Зелене"
"Київська";"Згурівський";"с. Іллінське"
"Київська";"Згурівський";"с. Красне"
"Київська";"Згурівський";"с. Левченкове"
"Київська";"Згурівський";"с. Лизогубова Слобода"
"Київська";"Згурівський";"с. Любомирівка"
"Київська";"Згурівський";"с. Майське"
"Київська";"Згурівський";"с. Мала Березанка"
"Київська";"Згурівський";"с. Мала Супоївка"
"Київська";"Згурівський";"с. Малий Крупіль"
"Київська";"Згурівський";"с. Нова Олександрівка"
"Київська";"Згурівський";"с. Нова Оржиця"
"Київська";"Згурівський";"с. Олександринівка"
"Київська";"Згурівський";"с. Олексіївка"
"Київська";"Згурівський";"с. Пайки"
"Київська";"Згурівський";"с. Пасківщина"
"Київська";"Згурівський";"с. Свобода"
"Київська";"Згурівський";"с. Середівка"
"Київська";"Згурівський";"с. Софіївка"
"Київська";"Згурівський";"с. Стара Оржиця"
"Київська";"Згурівський";"с. Старе"
"Київська";"Згурівський";"с. Терлещина"
"Київська";"Згурівський";"с. Турівка"
"Київська";"Згурівський";"с. Урсалівка"
"Київська";"Згурівський";"с. Усівка"
"Київська";"Згурівський";"с. Черевки"
"Київська";"Згурівський";"с. Шевченкове"
"Київська";"Згурівський";"с. Щасливе"
"Київська";"Згурівський";"смт Згурівка"
"Київська";"Іванківський";"м. Чорнобиль"
"Київська";"Іванківський";"с. Білий Берег"
"Київська";"Іванківський";"с. Блідча"
"Київська";"Іванківський";"с. Болотня"
"Київська";"Іванківський";"с. Варівськ"
"Київська";"Іванківський";"с. Верхолісся"
"Київська";"Іванківський";"с. Воропаївка"
"Київська";"Іванківський";"с. Горностайпіль"
"Київська";"Іванківський";"с. Губин"
"Київська";"Іванківський";"с. Димарка"
"Київська";"Іванківський";"с. Дитятки"
"Київська";"Іванківський";"с. Доманівка"
"Київська";"Іванківський";"с. Жерева"
"Київська";"Іванківський";"с. Жеревпілля"
"Київська";"Іванківський";"с. Жміївка"
"Київська";"Іванківський";"с. Запрудка"
"Київська";"Іванківський";"с. Заруддя"
"Київська";"Іванківський";"с. Захарівка"
"Київська";"Іванківський";"с. Зимовище"
"Київська";"Іванківський";"с. Зорин"
"Київська";"Іванківський";"с. Калинове"
"Київська";"Іванківський";"с. Карпилівка"
"Київська";"Іванківський";"с. Ковалівка"
"Київська";"Іванківський";"с. Коленці"
"Київська";"Іванківський";"с. Коленцівське"
"Київська";"Іванківський";"с. Красилівка"
"Київська";"Іванківський";"с. Кропивня"
"Київська";"Іванківський";"с. Кухарі"
"Київська";"Іванківський";"с. Лапутьки"
"Київська";"Іванківський";"с. Леонівка"
"Київська";"Іванківський";"с. Людвинівка"
"Київська";"Іванківський";"с. Макарівка"
"Київська";"Іванківський";"с. Мала Макарівка"
"Київська";"Іванківський";"с. Медвин"
"Київська";"Іванківський";"с. Мокра Корма"
"Київська";"Іванківський";"с. Мусійки"
"Київська";"Іванківський";"с. Нові Макалевичі"
"Київська";"Іванківський";"с. Нові Соколи"
"Київська";"Іванківський";"с. Обуховичі"
"Київська";"Іванківський";"с. Олива"
"Київська";"Іванківський";"с. Олізарівка"
"Київська";"Іванківський";"с. Оране"
"Київська";"Іванківський";"с. Осовець"
"Київська";"Іванківський";"с. Пироговичі"
"Київська";"Іванківський";"с. Підгайне"
"Київська";"Іванківський";"с. Піски"
"Київська";"Іванківський";"с. Полідарівка"
"Київська";"Іванківський";"с. Поталіївка"
"Київська";"Іванківський";"с. Потоки"
"Київська";"Іванківський";"с. Прибірськ"
"Київська";"Іванківський";"с. Рахвалівка"
"Київська";"Іванківський";"с. Розважів"
"Київська";"Іванківський";"с. Рокитна Слобода"
"Київська";"Іванківський";"с. Рудня-Левківська"
"Київська";"Іванківський";"с. Рудня-Сидорівська"
"Київська";"Іванківський";"с. Рудня-Тальська"
"Київська";"Іванківський";"с. Рудня-Шпилівська"
"Київська";"Іванківський";"с. Русаки"
"Київська";"Іванківський";"с. Сидоровичі"
"Київська";"Іванківський";"с. Слобода-Кухарська"
"Київська";"Іванківський";"с. Соснівка"
"Київська";"Іванківський";"с. Ставрівка"
"Київська";"Іванківський";"с. Станішівка"
"Київська";"Іванківський";"с. Старий Міст"
"Київська";"Іванківський";"с. Старі Соколи"
"Київська";"Іванківський";"с. Старовичі"
"Київська";"Іванківський";"с. Степанівка"
"Київська";"Іванківський";"с. Страхолісся"
"Київська";"Іванківський";"с. Сукачі"
"Київська";"Іванківський";"с. Термахівка"
"Київська";"Іванківський";"с. Тетерівське"
"Київська";"Іванківський";"с. Федорівка"
"Київська";"Іванківський";"с. Феневичі"
"Київська";"Іванківський";"с. Фрузинівка"
"Київська";"Іванківський";"с. Хочева"
"Київська";"Іванківський";"с. Чкаловка"
"Київська";"Іванківський";"с. Шевченкове (Димарська сільська рада)"
"Київська";"Іванківський";"с. Шевченкове (Розважівська сільська рада)"
"Київська";"Іванківський";"с. Шпилі"
"Київська";"Іванківський";"с. Яхнівка"
"Київська";"Іванківський";"смт Іванків"
"Київська";"Ірпінь";"м. Ірпінь"
"Київська";"Ірпінь";"смт Ворзель"
"Київська";"Ірпінь";"смт Гостомель"
"Київська";"Ірпінь";"смт Коцюбинське"
"Київська";"Кагарлицький";"м. Кагарлик"
"Київська";"Кагарлицький";"с. Антонівка"
"Київська";"Кагарлицький";"с. Балико-Щучинка"
"Київська";"Кагарлицький";"с. Бендюгівка"
"Київська";"Кагарлицький";"с. Бурти"
"Київська";"Кагарлицький";"с. Великі Пріцьки"
"Київська";"Кагарлицький";"с. Виселка"
"Київська";"Кагарлицький";"с. Виселкове"
"Київська";"Кагарлицький";"с. Воронівка"
"Київська";"Кагарлицький";"с. Горохівське"
"Київська";"Кагарлицький";"с. Горохове"
"Київська";"Кагарлицький";"с. Горохуватка"
"Київська";"Кагарлицький";"с. Гребені"
"Київська";"Кагарлицький";"с. Демівщина"
"Київська";"Кагарлицький";"с. Зелений Яр"
"Київська";"Кагарлицький";"с. Землянка"
"Київська";"Кагарлицький";"с. Зікрачі"
"Київська";"Кагарлицький";"с. Зорівка"
"Київська";"Кагарлицький";"с. Іванівка"
"Київська";"Кагарлицький";"с. Кадомка"
"Київська";"Кагарлицький";"с. Калинівка"
"Київська";"Кагарлицький";"с. Кузьминці"
"Київська";"Кагарлицький";"с. Леонівка"
"Київська";"Кагарлицький";"с. Липовець"
"Київська";"Кагарлицький";"с. Ліщинка"
"Київська";"Кагарлицький";"с. Мирівка"
"Київська";"Кагарлицький";"с. Новосілки"
"Київська";"Кагарлицький";"с. Онацьки"
"Київська";"Кагарлицький";"с. Оріхове"
"Київська";"Кагарлицький";"с. Очеретяне"
"Київська";"Кагарлицький";"с. Панікарча"
"Київська";"Кагарлицький";"с. Переселення"
"Київська";"Кагарлицький";"с. Півці"
"Київська";"Кагарлицький";"с. Расавка (Ліщинської Сільської Ради)"
"Київська";"Кагарлицький";"с. Расавка (Слобідської Сільської Ради)"
"Київська";"Кагарлицький";"с. Слобода"
"Київська";"Кагарлицький";"с. Стави"
"Київська";"Кагарлицький";"с. Стайки"
"Київська";"Кагарлицький";"с. Стрітівка"
"Київська";"Кагарлицький";"с. Сущани"
"Київська";"Кагарлицький";"с. Тарасівка"
